student_id;;nmbrImportance3Ex;nmbrImportance0Ex;nmbrImportance3ExSuccess;nmbrImportance0ExSuccess;nmbrImportance0ExPointsAwarded;nmbrImportance3ExPointsAwarded;nmbrExPoints;nmbrImportance0ExPoints;nmbrImportance3ExPoints;nmbrImportance0ExSuccess,1;nmbrImportance3ExSuccess,1;nmbrSuccessTests;averageEachAssignmentSubmitted;averageEachAssignmentSubmittedSuccess;averSolSubmDiffAll;averSolSubmDiff;averSolSubmDiffRatioAll;averSolSubmDiffRatio;averSolSubmImportance3DiffRatio;nmbrCheat;nmbrAlmostCheat;nmbrShort_05;nmbrQuiteShort_075;nmbrQuiteLong_15;nmbrLong_2;avNmbrShort_05;avNmbrQuiteShort_075;avNmbrQuiteLong_15;avNmbrLong_2;nmbrSubmissionsLastWeek;nmbrSuccessTestsLastWeek;nmbrSuccessSubmissionsLastWeek;nmbrBlokSuccessSubmissions;avBlokSubmSolRatio;avFirstMonthCompletedSubSubmSolRatio;avDiffRatioBlokFirstMonth;nmbrPointsFirst3Weeks;bmbrPointsLast3Weeks;prolog_score;binary_score;nmbrSuccessTestsLastWeek2;delen
a56f73efc6ea02b290bee5650394a874;;15;80;11;40;1680;840;30;26;4;112;77;430;4.75;2.68;1179;479;0.91;1.17;0.62;0;3;15;21;9;9;0.29;0.41;0.18;0.18;0;0;0;8;0.56;1.28;-0.73;1560;1200;10.00;1;0;1000
047477f4513b822bf8ea2e90e3ae6c23;;16;176;5;87;530;420;16;12;4;58;56;711;10.11;5.11;1088;440;0.81;1.03;0.96;1;16;12;38;12;10;0.13;0.41;0.13;0.11;0;0;0;65;0.97;1.18;-0.21;410;420;6.00;1;0;1000
12550fb591426e0ebf627d1ddbfd0dbf;;13;74;4;25;1560;840;32;23;9;102;154;385;4.58;1.53;225;-532;0.94;1.16;2.12;0;2;6;10;6;3;0.21;0.34;0.21;0.10;0;0;0;6;0.99;1.20;-0.22;1440;1200;7.50;1;0;1000
05231c3e3b13bf76eaf69e6ebcc7eeca;;2;150;2;37;934;0;25;25;0;92;0;518;10.13;3.25;658;662;0.72;0.88;0.43;1;3;18;26;5;2;0.46;0.67;0.13;0.05;0;0;0;21;0.81;0.97;-0.15;1200;28;9.00;1;0;1000
c61aa89c6acf0f0f03a807c9c360de1d;;62;87;11;19;1109;420;32;23;9;103;124;860;7.45;1.67;714;-428;0.82;1.14;1.44;1;5;6;11;10;4;0.20;0.37;0.33;0.13;0;0;0;10;1.43;0.96;0.47;840;743;8.75;1;0;1000
f5f9f366fb533b8cd5f7f4f4284bf33b;;13;52;2;17;1320;300;29;23;6;106;74;316;4.06;1.36;1264;447;0.71;0.91;1.13;0;0;6;10;3;2;0.32;0.53;0.16;0.11;0;0;0;4;1.15;0.84;0.30;720;660;7.00;1;0;1000
0aa9884c48b8b10ab9e15b20d8bae760;;41;218;12;59;0;420;1;0;1;0;24;1042;12.33;3.38;1273;916;0.65;0.73;0.79;0;9;30;42;3;2;0.42;0.59;0.04;0.03;0;0;0;60;0.72;0.79;-0.08;0;420;5.50;1;0;1000
9196c77374a9fba5b2dfd78bf6363dc8;;8;77;0;27;530;100;19;18;1;61;6;294;5.31;1.80;1010;363;0.73;0.95;0.00;3;11;8;12;2;2;0.30;0.44;0.07;0.07;0;0;0;11;1.01;0.92;0.09;530;100;2.00;0;0;1000
0d6760b38e52aa80c85686d5e8d3ce01;;33;97;1;17;1316;266;28;20;8;100;82;561;7.22;1.38;1780;152;0.60;1.55;0.55;0;0;5;10;3;2;0.28;0.56;0.17;0.11;0;0;0;4;0.46;1.87;-1.40;923;436;5.50;1;0;1000
ff095c82df21830b08192452e24e067d;;24;170;0;25;265;0;10;10;0;29;0;655;12.93;2.08;1005;570;0.65;0.80;0.00;2;4;7;18;1;1;0.28;0.72;0.04;0.04;0;0;0;6;0.55;0.95;-0.40;559;0;4.00;0;0;1000
9dae0307529eb060cfcb0e73b61f8076;;29;137;2;13;111;166;5;3;2;10;16;524;10.38;1.50;318;675;0.94;0.75;0.27;0;1;9;10;1;1;0.60;0.67;0.07;0.07;0;0;0;0;0.00;0.75;0.00;83;194;7.00;1;0;1000
3ac71773a93aa5ce134297073f65e65c;;0;62;0;15;356;0;12;12;0;44;0;225;10.33;3.00;253;5;0.80;1.22;0.00;0;3;0;3;2;2;0.00;0.20;0.13;0.13;0;0;0;5;1.10;1.29;-0.19;650;0;3.00;0;0;1000
f327b5118042c428a8a4aee38c562bd5;;89;215;7;34;480;316;12;10;2;52;25;1488;15.20;2.28;865;530;0.77;0.87;0.79;0;2;18;23;4;3;0.44;0.56;0.10;0.07;0;0;0;29;0.83;0.97;-0.14;360;436;4.00;0;0;1000
a2f132c0bc83e0438399abef26a7ad0b;;11;52;0;15;1174;0;23;23;0;79;0;176;4.20;1.36;640;102;0.88;1.22;0.00;0;0;1;5;3;1;0.07;0.33;0.20;0.07;0;0;0;0;0.00;1.22;0.00;1320;94;4.50;0;0;1000
165793ae4a9ad47cd4cc079fec75b8f1;;69;60;4;14;0;100;1;0;1;0;6;738;6.79;1.06;1459;811;0.68;0.83;0.69;0;2;5;10;1;1;0.28;0.56;0.06;0.06;0;0;0;18;0.83;0.00;0.00;0;100;8.00;1;0;1000
b07aced80770ac794f423aa3d6cb97db;;36;242;7;13;323;0;13;13;0;43;0;791;17.38;2.22;1525;1149;0.68;0.58;0.26;0;1;14;15;2;0;0.70;0.75;0.10;0.00;0;0;0;17;0.56;0.71;-0.15;323;0;2.50;0;0;1000
dd4a6ebb72e5b057a51fee46587a19c9;;3;64;0;24;1386;200;23;21;2;92;12;182;3.72;1.71;1007;522;0.68;0.90;0.00;0;1;6;14;2;2;0.25;0.58;0.08;0.08;0;0;0;2;0.37;0.95;-0.58;1440;440;6.00;1;0;1000
1cb47fd06d680f02cde12fa919681ac2;;3;53;0;12;0;83;1;0;1;0;5;155;4.00;1.09;938;412;0.63;0.86;0.00;2;2;2;6;1;0;0.17;0.50;0.08;0.00;0;0;0;12;0.86;0.00;0.00;0;83;5.50;1;0;1000
1e376f963d322d0143758005f37fa0bc;;119;286;26;44;983;0;20;20;0;67;0;1382;20.25;5.00;344;539;1.23;0.79;0.70;0;14;17;33;1;1;0.24;0.47;0.01;0.01;0;0;0;37;0.81;0.75;0.06;989;114;1.50;0;0;1000
a6b1010af4fc455ee5abb604dcf918f7;;36;196;0;19;503;100;17;15;2;59;11;768;19.33;2.38;1363;582;0.50;0.83;0.00;0;5;7;12;1;1;0.37;0.63;0.05;0.05;0;0;0;6;1.08;0.72;0.36;683;214;6.50;1;0;1000
28b9896f63c023e221fd2fd360509561;;28;82;6;27;1314;100;19;18;1;72;6;376;5.00;1.50;692;358;0.88;1.01;0.70;0;8;7;11;5;4;0.21;0.33;0.15;0.12;0;0;0;16;1.02;1.01;0.01;1200;214;2.50;0;0;1000
21bb687b6250655933cad690986e1b4b;;2;62;0;28;662;0;10;10;0;36;0;306;6.40;3.11;216;185;0.82;0.91;0.00;0;12;5;8;1;1;0.18;0.29;0.04;0.04;0;0;0;8;1.03;0.86;0.17;989;0;1.00;0;0;1000
68d3998b8e5a4e3feb881dd104f18913;;38;209;3;25;406;0;12;12;0;57;0;887;16.47;2.00;1297;483;0.52;0.85;1.14;0;1;9;13;1;1;0.32;0.46;0.04;0.04;0;0;0;26;0.89;0.41;0.47;236;170;2.00;0;0;1000
2a4df73484dddb6300a7d49ec110c126;;13;19;2;14;786;840;15;9;6;50;103;294;2.67;1.45;-2450;-859;1.76;1.49;2.33;0;0;2;4;3;3;0.13;0.25;0.19;0.19;0;0;0;0;0.00;1.49;0.00;1080;840;6.00;1;0;1000
e38e1c7952ce1bf8c772d96ca5e7c364;;7;113;1;28;1264;100;22;21;1;85;6;446;6.67;2.07;975;608;0.83;0.94;0.81;0;0;10;15;5;2;0.34;0.52;0.17;0.07;0;0;0;8;1.18;0.85;0.33;1080;284;7.50;1;0;1000
d7b3d7f219607351da0d512e42359f13;;4;95;3;10;149;0;6;6;0;20;0;200;12.38;2.60;91;-130;0.88;1.12;1.12;0;1;0;0;0;0;0.00;0.00;0.00;0.00;0;0;0;3;1.10;1.13;-0.03;149;0;0.00;0;0;1000
589158ddb501e841a6ae3e105d3a60d3;;29;113;2;17;563;100;13;11;2;41;11;488;8.88;1.73;1175;433;0.71;0.91;0.71;0;1;6;10;1;1;0.32;0.53;0.05;0.05;0;0;0;5;0.64;1.01;-0.36;890;100;2.25;0;0;1000
bb33d46997db3c72f076c7017f82d29a;;69;283;4;56;360;0;12;12;0;46;0;1028;19.56;4.29;1561;24;0.60;1.37;0.63;6;21;5;9;12;10;0.08;0.15;0.20;0.17;0;0;0;27;1.02;1.43;-0.40;360;0;3.50;0;0;1000
4bad2737c0de0cc8e8e58ef64349b22a;;31;9;3;7;0;83;1;0;1;0;5;243;5.00;1.67;1562;1080;0.68;0.62;0.16;0;5;5;5;0;0;0.50;0.50;0.00;0.00;0;0;0;10;0.62;0.00;0.00;0;83;3.50;0;0;1000
e9030117eef88951c64623ea5489e3f5;;12;53;2;9;608;100;17;15;2;56;9;204;4.06;1.57;1289;590;0.66;1.23;0.26;0;0;6;7;3;3;0.55;0.64;0.27;0.27;0;0;0;4;0.48;1.66;-1.18;410;178;7.50;1;0;1000
4fd42877fcb7aee12967dcb8f9532944;;31;39;7;3;120;420;4;1;3;14;67;324;11.67;2.00;3237;1502;0.41;0.66;0.76;0;0;5;8;0;0;0.50;0.80;0.00;0.00;0;0;0;8;0.62;0.86;-0.24;0;540;8.50;1;0;1000
584ae28eda2369cd254fe3205f6300c3;;105;149;7;35;120;233;9;4;5;16;48;1184;12.10;2.21;1383;832;0.62;0.67;0.52;0;4;22;30;1;1;0.52;0.71;0.02;0.02;0;0;0;25;0.57;0.89;-0.33;120;233;7.25;1;0;1000
52ab2505048fe6b8061c1d7f147daef2;;24;128;2;15;600;150;12;9;3;42;20;354;10.13;1.70;1562;693;0.64;0.81;0.98;1;4;7;8;1;1;0.41;0.47;0.06;0.06;0;0;0;8;0.65;0.95;-0.30;360;390;5.00;0;0;1000
d9261d30ce2a5a533903600b4b03214f;;61;161;3;19;593;100;19;17;2;68;11;698;12.33;2.20;793;327;0.89;1.74;0.48;0;2;8;12;5;5;0.36;0.55;0.23;0.23;0;0;0;10;1.31;1.91;-0.60;423;270;5.00;0;0;1000
9d0c4080db434e2ab16c80ce2b994f92;;10;190;0;15;695;100;23;21;2;89;11;551;15.38;1.88;786;606;0.70;0.87;0.00;0;0;5;9;2;1;0.33;0.60;0.13;0.07;0;0;0;1;0.48;0.89;-0.41;902;220;3.50;0;0;1000
54a1b5af63977d858d818a5141547485;;53;81;3;12;0;83;2;0;2;0;6;357;9.57;2.14;1822;280;0.60;0.89;0.69;1;8;2;4;0;0;0.13;0.27;0.00;0.00;0;0;0;12;0.85;1.06;-0.21;0;83;6.25;1;0;1000
304ad638d5b94a3d715c5a480727ba98;;0;99;0;15;66;0;2;2;0;5;0;333;12.38;1.88;590;653;0.56;0.79;0.00;0;1;6;7;1;0;0.40;0.47;0.07;0.00;0;0;0;13;0.74;1.16;-0.42;240;0;2.00;0;0;1000
f6d47e0c20ca9977960e3d84b2703d15;;9;160;0;20;868;0;17;17;0;67;0;389;11.27;1.54;1728;596;0.59;1.09;0.00;2;2;4;13;3;2;0.20;0.65;0.15;0.10;0;0;0;8;0.59;1.42;-0.83;1080;28;9.00;1;0;1000
952dd801db0c5decf0f185021445112c;;7;181;0;24;868;0;16;16;0;65;0;341;14.46;2.67;1275;552;0.48;0.94;0.00;0;1;10;14;5;1;0.42;0.58;0.21;0.04;0;0;0;7;1.02;0.90;0.12;1080;28;2.00;0;0;1000
5c46f79ebaa80cfb2fd3ae1d20a47e4c;;1;50;1;9;290;0;5;5;0;31;0;202;5.10;1.43;1282;624;0.58;1.04;0.32;0;1;5;7;1;1;0.50;0.70;0.10;0.10;0;0;0;7;1.21;0.65;0.56;120;170;1.00;0;0;1000
6b6d7ccb2d17389de91cd8135aaacb5a;;0;184;0;21;269;0;8;8;0;25;0;478;16.73;2.10;424;42;0.74;1.17;0.00;3;5;3;4;4;2;0.14;0.19;0.19;0.10;0;0;0;12;1.03;1.35;-0.32;269;0;2.25;0;0;1000
7778d80908ace05501a05067b903b7e2;;43;173;4;34;646;333;15;11;4;59;43;1119;12.00;2.71;909;786;0.67;0.76;0.63;1;6;16;24;5;0;0.42;0.63;0.13;0.00;0;0;0;20;0.72;0.80;-0.08;770;503;4.00;0;0;1000
aad861c332ca88b09bdfba1d2449ad83;;3;24;2;17;1200;420;15;14;1;75;24;154;2.08;1.46;84;96;1.42;1.24;0.91;0;1;2;9;6;4;0.11;0.47;0.32;0.21;0;0;0;1;0.65;1.32;-0.67;1320;540;5.00;0;0;1000
69c88d9c53e2ee89ff0d6e399eb69d6c;;0;61;0;12;476;0;13;13;0;60;0;175;4.36;1.71;977;530;0.46;0.75;0.00;0;2;6;6;0;0;0.50;0.50;0.00;0.00;0;0;0;0;0.00;0.75;0.00;600;170;1.50;0;0;1000
f7fb5ccaba6359e7c56a0e10e49afd12;;62;75;0;19;1010;316;22;18;4;86;31;968;10.54;1.73;848;420;0.88;0.97;0.00;0;1;9;10;3;2;0.47;0.53;0.16;0.11;0;0;0;7;1.12;0.88;0.23;480;486;6.50;1;0;1000
9877c49ce9fe65ec2132d18ba38c6d8d;;13;183;0;40;290;83;8;7;1;41;5;611;11.53;2.86;1022;487;0.72;0.87;0.00;0;3;6;22;2;2;0.15;0.55;0.05;0.05;0;0;0;37;0.88;0.65;0.23;120;253;9.00;1;0;1000
40b80a09960238e1b6521ee4758f27d7;;4;25;0;3;66;0;1;1;0;2;0;83;5.80;1.00;1491;7;0.63;0.99;0.00;1;2;0;0;0;0;0.00;0.00;0.00;0.00;0;0;0;1;1.00;0.98;0.02;306;0;2.00;0;0;1000
cd3f31c00b35b19fefd635f1a2b89be6;;1;17;0;3;153;100;4;3;1;25;6;88;2.57;1.00;926;1012;0.70;0.57;0.00;0;1;2;2;0;0;0.67;0.67;0.00;0.00;0;0;0;2;0.63;0.47;0.16;33;220;3.25;0;0;1000
c255d5ab87f0d4fc12f3c725df81195b;;0;66;0;11;360;0;8;8;0;29;0;153;6.60;1.22;848;296;0.73;1.15;0.00;0;2;3;5;3;2;0.27;0.45;0.27;0.18;0;0;0;4;1.33;1.06;0.27;600;0;5.00;0;0;1000
9d60b4d7a0c03e9d105a2b08900c27ed;;29;8;2;1;0;100;2;0;2;0;11;188;5.29;1.00;2041;1457;0.56;0.56;0.64;0;0;2;2;0;0;0.67;0.67;0.00;0.00;0;0;0;3;0.56;0.00;0.00;0;100;5.00;0;0;1000
a357f1dc55f01a1aca48bba495f91521;;8;71;0;31;1316;500;26;19;7;91;83;414;4.65;2.58;611;451;0.88;1.08;0.00;0;2;9;18;7;4;0.29;0.58;0.23;0.13;0;0;0;7;0.64;1.21;-0.57;1386;670;5.00;0;0;1000
a456c4050e08099ba862bef8ae5dc8de;;78;161;16;25;120;420;9;3;6;27;103;863;10.86;1.86;1043;41;0.72;1.07;1.14;0;4;7;19;6;3;0.17;0.46;0.15;0.07;0;0;0;36;1.10;0.85;0.25;0;540;8.00;1;0;1000
d6967ecb99d0e0c7ecd1de62a55da433;;42;44;16;22;720;840;17;10;7;57;118;490;4.30;1.90;509;555;0.82;0.82;0.69;0;4;19;24;5;2;0.50;0.63;0.13;0.05;0;0;0;15;0.55;0.91;-0.36;240;1080;8.00;1;0;1000
852e96e1c38699fa8cbba0a2efb70f2d;;2;46;0;11;199;0;5;5;0;14;0;153;6.86;1.83;371;-19;0.74;1.29;0.00;0;0;0;5;2;2;0.00;0.45;0.18;0.18;0;0;0;5;1.68;0.97;0.71;493;0;7.00;1;0;1000
e8ee05ab939ba54b3145d98b8cc9ca10;;17;33;0;11;0;100;2;0;2;0;11;186;5.00;1.57;1476;67;0.61;1.15;0.00;0;0;1;4;1;1;0.09;0.36;0.09;0.09;0;0;0;1;0.56;1.20;-0.64;0;100;9.00;1;0;1000
9b2a203f1a5eb3a4a8160145141e781e;;0;26;0;4;66;0;2;2;0;5;0;53;6.50;1.33;66;30;0.91;0.94;0.00;0;1;0;1;0;0;0.00;0.25;0.00;0.00;0;0;0;0;0.00;0.94;0.00;360;0;8.75;1;0;1000
3ccc40fe3fb96ab9dd4ecb18e5ba7f79;;0;16;0;11;360;0;3;3;0;13;0;59;1.60;1.10;300;352;1.10;1.29;0.00;0;1;2;6;3;1;0.18;0.55;0.27;0.09;0;0;0;3;0.53;1.58;-1.05;360;0;5.50;1;0;1000
eee2c576a5ab73f945b6edb32219b192;;0;78;0;13;240;0;6;6;0;24;0;266;7.09;1.30;749;443;0.59;0.71;0.00;0;2;5;7;1;0;0.38;0.54;0.08;0.00;0;0;0;11;0.77;0.38;0.39;240;0;4.50;0;0;1000
ca6ae3e3002f2daddc942c0609e48f9f;;0;28;0;4;87;0;2;2;0;5;0;74;7.00;1.33;48;-211;1.00;1.69;0.00;0;0;0;0;1;1;0.00;0.00;0.25;0.25;0;0;0;0;0.00;1.69;0.00;120;0;3.00;0;0;1000
ff54eac4ed58315522318d64e4a27a48;;2;29;0;11;120;0;1;1;0;14;0;104;2.38;1.00;607;524;0.87;1.03;0.00;0;0;3;7;2;1;0.27;0.64;0.18;0.09;0;0;0;10;1.08;0.56;0.52;0;120;3.00;0;0;1000
bece0da10eebeda5a6c1db86df7bc611;;8;86;2;10;0;333;2;0;2;0;38;344;4.70;1.09;692;827;0.79;0.86;0.44;0;0;4;9;2;1;0.33;0.75;0.17;0.08;0;0;0;12;0.86;0.00;0.00;0;333;7.00;1;0;1000
b17d998e6aa8b0ea2b56fe6e2bdf12b7;;1;103;0;16;170;0;4;4;0;28;0;315;6.50;1.14;1711;614;0.48;0.90;0.00;0;1;3;10;1;1;0.19;0.63;0.06;0.06;0;0;0;14;0.95;0.56;0.39;0;170;7.00;1;0;1000
7245a727bf171ee35e94b95519ea3416;;9;2;1;0;0;316;2;0;2;0;24;53;2.20;1.00;2404;2036;0.48;0.33;0.33;0;0;1;1;0;0;1.00;1.00;0.00;0.00;0;0;0;1;0.33;0.00;0.00;0;316;5.00;0;0;1000
9da6695ac660014a49e424f50c51b6b5;;38;32;2;6;50;0;1;1;0;1;0;199;5.83;1.33;1939;725;0.55;0.68;0.14;0;2;2;5;0;0;0.25;0.63;0.00;0.00;0;0;0;6;0.86;0.00;0.00;0;50;5.00;0;0;1000
9bed6a8feec9751871b4be9c22b3a159;;7;7;3;2;66;0;1;1;0;2;0;41;2.00;1.67;2562;1497;0.50;0.69;0.53;0;0;1;2;0;0;0.20;0.40;0.00;0.00;0;0;0;5;0.69;0.00;0.00;66;0;8.00;1;0;1000
f48e83dd4c91e50a0990b2c1bd5e1b02;;21;98;2;7;83;0;4;4;0;13;0;356;6.61;1.13;1409;834;0.51;0.74;0.14;0;0;4;5;0;0;0.44;0.56;0.00;0.00;0;0;0;9;0.74;0.00;0.00;83;0;0.00;0;0;1000
0ffd08b55164fa1426ab8afc6a9cb64e;;0;34;0;5;99;0;3;3;0;10;0;78;6.80;1.67;362;-418;0.76;2.33;0.00;0;0;0;0;2;2;0.00;0.00;0.40;0.40;0;0;0;2;1.20;3.08;-1.88;99;0;1.50;0;0;1000
c83a511876f24e048162de7e90c30ddb;;1;34;1;8;120;0;1;1;0;6;0;126;4.38;1.29;162;196;0.96;0.94;1.00;1;1;1;3;0;0;0.11;0.33;0.00;0.00;0;0;0;8;1.00;0.48;0.52;120;0;3.00;0;0;1000
362b41bc9fe47c9a90c3a3af90eb796c;;4;17;1;1;83;0;3;3;0;12;0;49;3.00;1.00;870;1100;0.74;1.30;0.14;0;0;1;1;1;1;0.50;0.50;0.50;0.50;0;0;0;2;1.30;0.00;0.00;83;0;6.50;1;0;1000
d8a2732ec9a8ca0ffb2963f6190d325f;;12;11;0;0;28;0;1;1;0;4;0;96;11.50;0.00;810;0;0.71;0.00;0.00;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0;0;0;0;0.00;0.00;0.00;0;28;3.00;0;0;1000
b252a94dd5c51487dcfde2482770f0a4;;0;112;0;16;120;0;3;3;0;27;0;404;10.18;1.60;457;331;0.87;0.97;0.00;1;3;4;8;2;1;0.25;0.50;0.13;0.06;0;0;0;15;1.01;0.47;0.54;0;120;0.50;0;0;1000
18a6c46539fe3889969c11cc0f9e69fa;;2;46;2;12;120;0;3;3;0;27;0;199;4.80;1.56;561;366;0.87;1.27;0.40;0;1;4;5;3;3;0.29;0.36;0.21;0.21;0;0;0;12;1.40;0.45;0.95;0;120;1.50;0;0;1000
8c11e5b8ca8d0e6c25cac18d8816656f;;144;215;10;33;1560;840;52;37;15;137;222;1825;17.10;2.26;951;579;0.70;0.84;0.67;0;3;11;27;4;2;0.26;0.63;0.09;0.05;65;16480038;13;1;1.06;0.88;0.18;1440;1080;9.00;1;16480;1000
cd637744f199213fb62205f9d4b02076;;7;143;0;22;748;0;19;19;0;79;0;506;10.71;2.44;854;492;0.61;0.85;0.00;1;2;6;11;1;1;0.27;0.50;0.05;0.05;3;732105;3;7;0.68;0.87;-0.19;1080;28;3.50;0;732;1000
0ef10f55e2de7b6b2c7a9bbceca1b52e;;92;137;18;13;120;0;2;2;0;23;0;843;12.05;2.82;1682;725;0.61;0.78;0.79;0;7;15;18;3;1;0.48;0.58;0.10;0.03;88;22338068;10;17;0.83;0.43;0.40;0;120;7.00;1;22338;1000
0b63670d2fbfa7fc90ca27884faa660b;;18;30;1;3;203;66;5;4;1;18;4;171;6.86;1.00;1500;529;0.56;0.79;0.41;0;0;1;2;0;0;0.25;0.50;0.00;0.00;1;249864;0;1;0.41;0.52;-0.11;203;66;4.00;0;250;1000
0f67c00699dd56b72388f9b7096c9273;;10;14;1;2;64;100;5;2;3;13;15;65;3.43;1.00;1368;1064;0.70;0.69;0.14;0;0;1;2;0;0;0.33;0.67;0.00;0.00;10;2485646;2;1;0.14;0.00;0.00;0;164;3.00;0;2486;1000
fc3bae4b7271803308c96bf413773878;;46;283;6;55;1332;100;37;33;4;133;14;912;17.32;4.36;1207;642;0.62;0.89;0.38;0;9;25;32;8;6;0.41;0.52;0.13;0.10;26;6408327;7;24;0.73;0.85;-0.13;1320;373;5.00;0;6408;1000
2e44816bce3457a098c46886c3d5f73e;;76;247;0;42;524;100;16;14;2;58;11;994;20.19;3.82;1708;244;0.63;1.26;0.00;0;0;11;16;9;8;0.26;0.38;0.21;0.19;58;14554869;12;5;0.76;1.26;-0.50;410;214;4.00;0;14555;1000
1b3389c4ef5d90bedb2a23843041ed68;;26;87;2;28;837;0;18;18;0;84;0;512;7.06;2.14;908;338;1.27;1.05;0.98;0;5;11;13;3;3;0.37;0.43;0.10;0.10;28;6851694;12;9;0.72;1.06;-0.33;749;0;4.75;0;6852;1000
50958cd9cace77f7c16025171764d327;;10;21;0;7;170;216;7;4;3;28;24;223;7.75;3.50;2085;1054;0.48;0.63;0.00;0;0;1;6;0;0;0.14;0.86;0.00;0.00;3;756378;1;0;0.00;0.55;0.00;0;386;8.75;1;756;1000
2a1c534db1e5b9c40c72d9d88020d554;;37;103;1;25;240;83;7;6;1;25;5;431;8.75;2.36;2014;239;0.52;1.09;0.18;0;1;8;10;7;2;0.31;0.38;0.27;0.08;9;2206331;3;19;1.03;0.64;0.38;240;83;1.50;0;2206;1000
2d8c37a5003f4ed6209e0381992f43e7;;37;102;0;10;290;100;12;8;4;47;18;444;8.18;1.11;2129;1042;0.51;0.64;0.00;0;0;6;7;1;0;0.60;0.70;0.10;0.00;1;249773;1;5;0.90;0.34;0.57;170;220;4.50;0;250;1000
a63e809e45b10d9b448eb0e42ef1dc30;;13;29;0;2;28;83;2;1;1;4;5;154;6.00;2.00;2343;-292;0.38;1.69;0.00;0;0;0;0;2;0;0.00;0.00;1.00;0.00;3;728464;2;0;0.00;0.00;0.00;0;111;5.00;0;728;1000
49f937d25b3b088e99fbd75499d9d55b;;196;266;2;19;170;0;4;4;0;28;0;1531;21.00;1.62;1886;702;0.60;0.84;0.14;0;1;8;11;2;2;0.38;0.52;0.10;0.10;106;26619998;12;8;0.39;0.45;-0.05;0;170;4.00;0;26620;1000
cc2fafc44248c5753238a4bafba84e14;;7;125;0;16;236;100;9;8;1;28;6;373;8.80;1.33;1008;490;0.55;0.87;0.00;0;3;5;8;1;1;0.31;0.50;0.06;0.06;1;254771;1;4;0.83;0.99;-0.17;530;100;5.00;0;255;1000
d4d395f8f3879cec9059f5caf2acb4b7;;13;462;3;42;858;0;23;23;0;83;0;1059;26.39;3.00;838;568;0.72;0.93;0.26;0;2;9;30;7;7;0.20;0.67;0.16;0.16;41;10035403;2;11;0.52;1.09;-0.57;808;0;2.00;0;10035;1000
632aa61d43181ec8c12da13ec48e3527;;53;189;21;56;1053;0;20;20;0;79;0;1126;12.10;4.05;1147;599;0.71;0.80;0.77;2;18;18;40;3;3;0.23;0.52;0.04;0.04;18;4502441;4;38;0.75;0.79;-0.04;1233;114;6.50;1;4502;1000
af7831fc58d3d823584f6e71a4620e00;;56;31;5;11;1080;216;14;12;2;53;19;503;5.80;1.23;1947;1031;0.60;0.72;0.40;0;1;9;11;1;1;0.56;0.69;0.06;0.06;17;4323603;1;5;0.29;0.89;-0.60;960;216;7.75;1;4324;1000
9059cac8ef91d4185a32df283f1861df;;4;18;4;1;203;0;2;2;0;8;0;38;2.75;2.50;1714;1414;0.48;0.55;0.41;0;0;3;4;0;0;0.60;0.80;0.00;0.00;3;754986;0;4;0.41;1.09;-0.68;203;0;5.00;0;755;1000
e7c7d247c6b9c1ba32cdc279c5ed3aa7;;55;41;10;17;1440;133;18;16;2;75;13;478;5.05;1.50;1222;479;0.86;1.15;0.62;0;1;3;17;5;5;0.11;0.63;0.19;0.19;14;3545243;0;8;0.71;1.56;-0.85;720;373;9.50;1;3545;1000
cd49b1ba2cda6d3c2ed2985165c3b899;;36;175;9;20;170;316;5;2;3;15;29;904;9.59;1.32;1414;625;0.66;0.82;0.89;0;5;8;18;1;1;0.28;0.62;0.03;0.03;154;37655112;18;10;0.88;0.48;0.40;0;486;8.00;1;37655;1000
ec3da8175147e3f519b160ae2b145575;;14;38;6;21;0;83;1;0;1;0;5;347;2.36;1.23;563;248;1.06;1.07;1.05;0;3;1;5;3;1;0.04;0.19;0.11;0.04;34;8299757;21;6;0.92;0.00;0.00;0;83;6.00;1;8300;1000
bc94e0142fae95d399b085a43b686789;;17;163;5;31;120;0;2;2;0;23;0;500;9.47;2.12;1168;358;0.76;0.92;1.15;1;4;9;19;3;1;0.25;0.53;0.08;0.03;12;2929853;4;24;1.00;0.51;0.49;0;120;6.75;1;2930;1000
c651b390081ca52ab27831e96a0ac4c3;;2;123;0;7;186;0;7;7;0;24;0;292;13.89;1.75;355;130;0.68;0.91;0.00;0;0;0;3;0;0;0.00;0.43;0.00;0.00;24;5876083;5;0;0.00;0.69;0.00;186;0;1.50;0;5876;1000
75115b399a9102a633dc85e69770b3be;;72;162;16;28;100;0;3;3;0;8;0;1380;11.14;2.20;-197;-478;1.10;1.14;1.42;2;7;6;11;11;9;0.14;0.25;0.25;0.20;44;10904452;10;24;1.29;1.54;-0.25;100;0;6.25;1;10904;1000
e63a86d19edf6ea36fcbb8a450e21959;;5;115;0;18;290;0;6;6;0;38;0;429;8.57;1.80;970;696;0.58;0.87;0.00;0;1;9;13;2;2;0.50;0.72;0.11;0.11;79;19938366;9;7;0.92;0.39;0.53;120;170;2.50;0;19938;1000
